roadsectionid,coordx,coordy,cctvresolution,filecreatetime,cctvtype,cctvformat,cctvname,cctvurl
,126.9944,36.74517,,,1,HLS,[국도21] 아산 경찰인재개발원,http://cctvsec.ktict.co.kr/4589/Cq0oIyeynSrj0py6jrIIAYzS1f71mVSvk06IvKMv2+1w1y7qt5djyqPAdf72I/ERTZULkKejjtQPiXGAnCVMJ+PSf/CK6HFdjf1QyP45OS0=
,126.5938,36.45435,,,1,HLS,[국도 21호선] 보령 진죽사거리,http://cctvsec.ktict.co.kr/4590/71IxMWhXxMA6JXnwcg1ZBBU7F/GsmTP2NIwUbXz+a0Z2dZ4FXwkc7Zrj9UVnH95pwzmsMqvbkCYEoj6B4gaA5MLfTyFP8jpi7w+SJrzVOXY=
,126.61389,36.47736,,,1,HLS,[국도 21호선] 보령 죽림삼거리,http://cctvsec.ktict.co.kr/4591/7M5Ukj2eiRhjnOGp5U9gktDa1OHkRWjquFBf9SceRrzLQO5g4uEOrzKfMCQNvcVoRfTQNpTAdkzVQWqqAQh5TP0kgbvaqRI/8joyMBIhbug=
,126.58117,36.41266,,,1,HLS,[국도 21호선] 보령 봉당삼거리,http://cctvsec.ktict.co.kr/4593/SuFOdyX1eit49sXs2Sbgyg+x+QAi2paNu4ei8UFSQ2fkfj9oKQNr5rvkHZ6ovOnlMelyaE+ckIgZ8xXnvdJ6QtTYluxGiNa/oNSK/SPHhxQ=
,126.58279,36.38399,,,1,HLS,[국도 21호선] 보령 관창교차로,http://cctvsec.ktict.co.kr/4594/SfC3fTJ/WyDkDRB8Vsl13mqlGX/+Jw0LnMydYpNWW4TJeR3QjGL0FJZR30MsWdOPoje1Np+NkOVGnKx5jCyTKhvVnxZ4PcBNMIpn92Pwy30=
,126.614,36.48913,,,1,HLS,[국도 21호선] 홍성 천수만교,http://cctvsec.ktict.co.kr/4595/uk6maFVkIE8gSX8m9lfGt501lvQsmdQYcCubJLdvcZLEBqAz7nIH1DETcjVP35ErBEu3eaIKibNz/n3NF+gVjEmiZwBQnxH2PV6y97wwIlI=
,126.922575,36.763591,,,1,HLS,[국도 21호선] 아산 와산리,http://cctvsec.ktict.co.kr/4597/CODgEViurrC8boEsio0hqZhG5zlqHox9kFYU0x7foFRVbnmvfSgqFVAeegmHqwIdDeaEV+M5r0mzx41Tx2tzqsTFzYziVj9HzcFDZJEC9ME=
,127.018195,36.745798,,,1,HLS,[국도 21호선] 아산 장존교차로,http://cctvsec.ktict.co.kr/4598/QBWOgenZkcZOQnnSq6wVTYRLMcM3XENyD8MIP7FPb62Fu+hzGLymFkLGakZcY4tZrFqsFieaoL4yWGL1/bWFerrp6B7aHA/YiLO8hPHNw40=
,127.004646,36.742249,,,1,HLS,[국도21] 아산 평촌리,http://cctvsec.ktict.co.kr/4600/QvcZnLdER2Xvk9HVUuloLhMPhz82/j4qU1u2Xh890QGfKQiYhCOTctkB9B6xSE/kCd6DuJnPVWJSNqECCGkRXueke+RMRyQJNEuWjqVksRI=
,126.8589168,36.738909,,,1,HLS,[국도 21호선] 예산 간양교차로,http://cctvsec.ktict.co.kr/4601/vl00x2wRMU4M9Nvr6NVRIz+aunfQEKGlepgqXLxBaDi7Rzmo0jApHqbI2RSxrBmTom0m7BFbDlaJfn2681VpdLa9HgjAkA7xgxCq985ft3g=
